"ID","MAIN_ENGINE_MANUFACTURER","NUMBER_OF_PROPELLORS","MAIN_ENGINE_CAPACITY","TYPE_OF_FUEL","BOW_THRUSTER","STERN_THRUSTER","SHIP_CATEGORY"
18290,"",,27440,"HFO","1300 KW","","GEN CARGO"
18291,"",,6600,"HFO","600 KW","","TANKER"
18292,"",,6600,"HFO","600 KW","","TANKER"
18293,"",,5279,"HFO","425 KW","","DREDGING"
18295,"",,9930,"HFO","","","BULK"
18296,"",,15373,"HFO","","","BULK"
18297,"",,15402,"HFO","","","BULK"
18298,"",,7833,"HFO","","","BULK"
18299,"",,11400,"HFO","","","BULK"
18301,"",,11907,"HFO","","","BULK"
18302,"",,11907,"HFO","","","BULK"
18303,"",,2238,"HFO","429 KW","429 KW","FISHING"
18304,"",,1599,"HFO","200 PK","","GEN CARGO"
18305,"",,10127,"HFO","2X4000KW","","OFFSHORE"
18306,"",,7833,"HFO","","","BULK"
18307,"",,12180,"HFO","","","TANKER"
18309,"",,43069,"HFO","1500 KW","860 KW","GEN CARGO"
18311,"",,13320,"HFO","590 KW","","GEN CARGO"
18312,"",,13320,"HFO","590 KW","","GEN CARGO"
18313,"",,13313,"HFO","590 KW","","GEN CARGO"
18314,"",,13320,"HFO","590 KW","","GEN CARGO"
18315,"",,17600,"HFO","","","PASSENGER"
18316,"",,17600,"HFO","","","GEN CARGO"
18317,"",,13125,"HFO","880 KW","","GEN CARGO"
18993,"",,5400,"HFO","700 PK","","TANKER"
18994,"",,3602,"HFO","500 PK","","TANKER"
18996,"",,7944,"HFO","","","BULK"
18997,"",,9843,"HFO","2X588 KW","","GEN CARGO"
18698,"",,15220,"HFO","","","BULK"
18699,"",,7950,"HFO","2X1500PK","","TANKER"
18700,"",,1000,"HFO","135KW","","GEN CARGO"
19722,"",,7940,"HFO","","","TANKER"
19724,"",,1125,"HFO","142 KW","","GEN CARGO"
19725,"",,1125,"HFO","200 PK","","GEN CARGO"
19727,"",,8701,"HFO","","","BULK"
